complex,Halo_ARID4A,Halo_ARID4B,Halo_BRMS1,Halo_BRMS1L,Halo_GATAD1,HDAC1.Halo,HDAC2_Halo,Halo_ING1,Halo_ING2,MORF4L1_Halo,Halo_PHF12,Halo_RBBP4,Halo_SAP30,Halo_SAP30L,Halo_SAP130,SIN3A_Halo,SIN3B_2_Halo,Halo_SUDS3
0,0,0,0,0,0,79.2,69,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,88.42820513,105.2954545,0,0,0,0,0,0,0,0,0,0,0.166666667
0,0,0,0,0,0,174.6,102.9555213,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,71.02422556,51.46659613,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,84.78564627,71.96329632,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,115,80.04447865,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,167.462172,99.75,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,51.2197561,36.80951028,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,56.88109668,47.45,0,0,0,0,0,0,0,0,0,0,0
0,0.125,0,0,0,0,48.1,33.08333333,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,71.4,53,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,77.34795455,55.75,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,57.9,56.875,0,0.1,0,0,0,0,0,0,0,0,0
0,11.25,1,0,0,0,0,0,0,0.2,0,0.333333333,0.666666667,0,0,35.78732106,2.333333333,0,5.911111111
0,435.9962624,467.3600823,217.5210066,248.4091107,120.3119755,359.2564095,152.3788035,269.0816092,541.8098913,300.7750388,172.0573824,414.3582165,253.5005342,577.7368527,3534.379229,252.6497396,238.545601,320.9074016
0,72.5,76.75,51.25,89.33333333,44.33333333,96.2,49.25,72.66666667,92.4,56.33333333,65.33333333,78,36.25,74.5,1292.666667,47.33333333,27.75,55.33333333
0,8.404545455,9.808671825,14.16192211,8.450156348,2.166666667,32.39142746,22.81042332,17.263079,10.62039003,13.88278867,2.666666667,3.888888889,19.90029855,123.255751,64.18177643,8.055555556,18.01153894,2.371031746
